game_id,game_date,period,period_type,time_in_period,time_remaining,event_type,situation_code,x_coord,y_coord,zone,event_team,home_team,away_team,winning_player_id,losing_player_id,detail_eventOwnerTeamId,detail_losingPlayerId,detail_winningPlayerId,detail_xCoord,detail_yCoord,detail_zoneCode,hitter_player_id,hittee_player_id,detail_hittingPlayerId,detail_hitteePlayerId,shot_type,shooting_player_id,goalie_id,detail_shotType,detail_shootingPlayerId,detail_goalieInNetId,detail_awaySOG,detail_homeSOG,player_id,detail_playerId,detail_reason,detail_blockingPlayerId,penalized_player_id,drawn_by_player_id,penalty_type,penalty_minutes,detail_typeCode,detail_descKey,detail_duration,detail_committedByPlayerId,detail_drawnByPlayerId,detail_secondaryReason,scoring_player_id,assist1_player_id,assist2_player_id,detail_scoringPlayerId,detail_scoringPlayerTotal,detail_assist1PlayerId,detail_assist1PlayerTotal,detail_awayScore,detail_homeScore,detail_highlightClipSharingUrl,detail_highlightClip,detail_discreteClip,detail_assist2PlayerId,detail_assist2PlayerTotal,detail_servedByPlayerId,detail_highlightClipSharingUrlFr,detail_highlightClipFr,detail_discreteClipFr,detail_losingPlayerName,detail_winningPlayerName,detail_hittingPlayerName,detail_hitteePlayerName,detail_shootingPlayerName,detail_playerName,detail_blockingPlayerName,detail_committedByPlayerName,detail_drawnByPlayerName,detail_scoringPlayerName,detail_assist1PlayerName,detail_assist2PlayerName,detail_servedByPlayerName,qualified
2024020001,10/4/2024,1,REG,0:00,20:00,period-start,1551,,,,,BUF,NJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024020001,10/4/2024,1,REG,0:00,20:00,faceoff,1551,0.0,0.0,N,NJD,BUF,NJD,8480002.0,8478043.0,1.0,8478043.0,8480002.0,0.0,0.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'S. Lafferty'},{'default': 'N. Hischier'},,,,,,,,,,,,1
2024020001,10/4/2024,1,REG,0:05,19:55,hit,1551,69.0,-40.0,N,BUF,BUF,NJD,,,7.0,,,69.0,-40.0,N,8479359.0,8475193.0,8479359.0,8475193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'B. Malenstyn'},{'default': 'T. Tatar'},,,,,,,,,,0
2024020001,10/4/2024,1,REG,0:08,19:52,shot-on-goal,1551,57.0,-40.0,O,NJD,BUF,NJD,,,1.0,,,57.0,-40.0,O,,,,,wrist,8483495.0,8480045.0,wrist,8483495.0,8480045.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'default': 'S. Nemec', 'cs': 'Š. Nemec', 'sk': 'Š. Nemec'}",,,,,,,,,0
2024020001,10/4/2024,1,REG,0:19,19:41,giveaway,1551,-73.0,9.0,D,NJD,BUF,NJD,,,1.0,,,-73.0,9.0,D,,,,,,,,,,,,,8474593.0,8474593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'default': 'J. Markstrom', 'cs': 'J. Markström', 'fi': 'J. Markström', 'sk': 'J. Markström', 'sv': 'J. Markström'}",,,,,,,,0
2024020001,10/4/2024,1,REG,0:29,19:31,missed-shot,1551,71.0,-28.0,O,NJD,BUF,NJD,,,1.0,,,71.0,-28.0,O,,,,,wrist,8479407.0,8480045.0,wrist,8479407.0,8480045.0,,,,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'J. Bratt'},,,,,,,,,1
2024020001,10/4/2024,1,REG,0:36,19:24,hit,1551,69.0,41.0,N,BUF,BUF,NJD,,,7.0,,,69.0,41.0,N,8481524.0,8481559.0,8481524.0,8481559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'B. Byram'},{'default': 'J. Hughes'},,,,,,,,,,1
2024020001,10/4/2024,1,REG,0:40,19:20,shot-on-goal,1551,48.0,-24.0,O,NJD,BUF,NJD,,,1.0,,,48.0,-24.0,O,,,,,slap,8476462.0,8480045.0,slap,8476462.0,8480045.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'D. Hamilton'},,,,,,,,,1
2024020001,10/4/2024,1,REG,0:46,19:14,blocked-shot,1551,58.0,21.0,D,NJD,BUF,NJD,,,1.0,,,58.0,21.0,D,,,,,,8479407.0,,,8479407.0,,,,,,blocked,8481524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'J. Bratt'},,{'default': 'B. Byram'},,,,,,,1
2024020001,10/4/2024,1,REG,0:56,19:04,stoppage,1551,,,,,BUF,NJD,,,,,,,,,,,,,,,,,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2024020001,10/4/2024,1,REG,0:56,19:04,faceoff,1551,-69.0,22.0,O,BUF,BUF,NJD,8479420.0,8481559.0,7.0,8481559.0,8479420.0,-69.0,22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'J. Hughes'},{'default': 'T. Thompson'},,,,,,,,,,,,1
2024020001,10/4/2024,1,REG,0:57,19:03,blocked-shot,1551,-69.0,11.0,D,BUF,BUF,NJD,,,7.0,,,-69.0,11.0,D,,,,,,8482175.0,,,8482175.0,,,,,,blocked,8475455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'default': 'J. Peterka'},,{'default': 'B. Dillon'},,,,,,,1
